*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (mm), Eff Dist (mm), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (mm), Via Eff Dist (mm), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
GRILL,,LEGS,100,D1,PALLETTRUCK,PALLET,3,800,R,,,0,,,,,,22.6541,30.2055,5544.96,50,0.00302055,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,D2,PALLETTRUCK,PALLET,3,800,R,,,0,,,,,,29.2395,38.986,5544.96,50,0.0038986,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,R,PALLETTRUCK,PALLET,3,800,I,,,0,,,,,,32.8937,43.8583,5544.96,50,0.00438583,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,I,PALLETTRUCK,PALLET,3,800,S1,,,0,,,,,,46.6153,62.1538,5544.96,50,0.00621538,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S1,PALLETTRUCK,PALLET,3,800,F,,,0,,,,,,97.717,130.2894,5544.96,50,0.01302894,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,F,PALLETTRUCK,PALLET,3,800,PA,,,0,,,,,,104.1714,138.8952,5544.96,50,0.01388952,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,PA,PALLETTRUCK,PALLET,3,800,P,,,0,,,,,,101.868,135.824,5544.96,50,0.0135824,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,P,PALLETTRUCK,PALLET,3,800,S2,,,0,,,,,,36.7928,49.0571,5544.96,50,0.00490571,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S2,PALLETTRUCK,PALLET,3,800,S,,,0,,,,,,56.4,75.2001,5544.96,50,0.00752001,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D3,,,0,,,,,,28.5522,38.0696,5544.96,50,0.00380696,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D4,,,0,,,,,,30.5276,40.7034,5544.96,50,0.00407034,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D5,,,0,,,,,,32.6032,43.471,5544.96,50,0.0043471,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D6,,,0,,,,,,35.9541,47.9388,5544.96,50,0.00479388,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D7,,,0,,,,,,46.0804,61.4406,5544.96,50,0.00614406,0,0,0,0,0,3E-09,50.00
Grill,,TopBrace,100,D1,Forklift,Pallet,2,1500,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,D2,Forklift,Pallet,2,1500,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,R,Forklift,Pallet,2,1500,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,I,Forklift,Pallet,2,1500,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S1,Forklift,Pallet,2,1500,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,F,Forklift,Pallet,2,1500,Pa,,,0,,,,,,104.1714,138.8952,2217.984,30,0.00462984,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,Pa,Forklift,Pallet,2,1500,P,,,0,,,,,,101.868,135.824,2217.984,30,0.00452746666666667,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,Pa,Forklift,Pallet,2,1500,S2,,,0,,,,,,104.8278,139.7704,2217.984,30,0.00465901333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S2,Forklift,Pallet,2,1500,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,D1,Forklift,Pallet,3,500,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,D2,Forklift,Pallet,3,500,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,R,Forklift,Pallet,3,500,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,I,Forklift,Pallet,3,500,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S1,Forklift,Pallet,3,500,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,F,Forklift,Pallet,3,500,Pa,,,0,,,,,,104.1714,138.8952,2217.984,30,0.00462984,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,Pa,Forklift,Pallet,3,500,P,,,0,,,,,,101.868,135.824,2217.984,30,0.00452746666666667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,Pa,Forklift,Pallet,3,500,S2,,,0,,,,,,104.8278,139.7704,2217.984,30,0.00465901333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S2,Forklift,Pallet,3,500,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D1,Forklift,Pallet,3,2000,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D2,Forklift,Pallet,3,2000,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,R,Forklift,Pallet,3,2000,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,I,Forklift,Pallet,3,2000,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S1,Forklift,Pallet,3,2000,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,F,Forklift,Pallet,3,2000,P,,,0,,,,,,196.1943,261.5923,2217.984,30,0.00871974333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,P,Forklift,Pallet,3,2000,S2,,,0,,,,,,36.7928,49.0571,2217.984,30,0.00163523666666667,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S2,Forklift,Pallet,3,2000,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,D1,Forklift,Pallet,2,1500,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,D2,Forklift,Pallet,2,1500,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,R,Forklift,Pallet,2,1500,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,I,Forklift,Pallet,2,1500,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S1,Forklift,Pallet,2,1500,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,F,Forklift,Pallet,2,1500,Pa,,,0,,,,,,104.1714,138.8952,2217.984,30,0.00462984,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,Pa,Forklift,Pallet,2,1500,P,,,0,,,,,,101.868,135.824,2217.984,30,0.00452746666666667,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,Pa,Forklift,Pallet,2,1500,S2,,,0,,,,,,104.8278,139.7704,2217.984,30,0.00465901333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S2,Forklift,Pallet,2,1500,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S,Forklift,Pallet,2,1500,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,Tubeplugs,100,D1,Conveyor,Tote,6,1000,R,,,0,,,,,,22.6541,30.2055,2217.984,8,0.00431507142857143,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,D2,Conveyor,Tote,6,1000,R,,,0,,,,,,29.2395,38.986,2217.984,8,0.00556942857142857,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,R,Conveyor,Tote,6,1000,I,,,0,,,,,,32.8937,43.8583,2217.984,8,0.00626547142857143,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,I,Conveyor,Tote,6,1000,S1,,,0,,,,,,46.6153,62.1538,2217.984,8,0.00887911428571428,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S1,Conveyor,Tote,6,1000,F,,,0,,,,,,97.717,130.2894,2217.984,8,0.0186127714285714,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,F,Conveyor,Tote,6,1000,P,,,0,,,,,,196.1943,261.5923,2217.984,8,0.0373703285714286,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,P,Conveyor,Tote,6,1000,S2,,,0,,,,,,36.7928,49.0571,2217.984,8,0.00700815714285714,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S2,Conveyor,Tote,6,1000,S,,,0,,,,,,56.4,75.2001,2217.984,8,0.0107428714285714,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D3,,,0,,,,,,28.5522,38.0696,2217.984,8,0.00543851428571429,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D4,,,0,,,,,,30.5276,40.7034,2217.984,8,0.00581477142857143,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D5,,,0,,,,,,32.6032,43.471,2217.984,8,0.00621014285714286,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D6,,,0,,,,,,35.9541,47.9388,2217.984,8,0.0068484,0,0,0,0,0,0,8.00
Grill,,Tubeplugs,100,S,Conveyor,Tote,6,1000,D7,,,0,,,,,,46.0804,61.4406,2217.984,8,0.00877722857142857,0,0,0,0,0,0,8.00
Grill,,Knob,100,D1,Conveyor,Tote,3,500,R,,,0,,,,,,22.6541,30.2055,2217.984,8,0.00431507142857143,0,0,0,0,0,0,8.00
Grill,,Knob,100,D2,Conveyor,Tote,3,500,R,,,0,,,,,,29.2395,38.986,2217.984,8,0.00556942857142857,0,0,0,0,0,0,8.00
Grill,,Knob,100,R,Conveyor,Tote,3,500,I,,,0,,,,,,32.8937,43.8583,2217.984,8,0.00626547142857143,0,0,0,0,0,0,8.00
Grill,,Knob,100,I,Conveyor,Tote,3,500,S1,,,0,,,,,,46.6153,62.1538,2217.984,8,0.00887911428571428,0,0,0,0,0,0,8.00
Grill,,Knob,100,S1,Conveyor,Tote,3,500,F,,,0,,,,,,97.717,130.2894,2217.984,8,0.0186127714285714,0,0,0,0,0,0,8.00
Grill,,Knob,100,F,Conveyor,Tote,3,500,P,,,0,,,,,,196.1943,261.5923,2217.984,8,0.0373703285714286,0,0,0,0,0,0,8.00
Grill,,Knob,100,P,Conveyor,Tote,3,500,S2,,,0,,,,,,36.7928,49.0571,2217.984,8,0.00700815714285714,0,0,0,0,0,0,8.00
Grill,,Knob,100,S2,Conveyor,Tote,3,500,S,,,0,,,,,,56.4,75.2001,2217.984,8,0.0107428714285714,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D3,,,0,,,,,,28.5522,38.0696,2217.984,8,0.00543851428571429,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D4,,,0,,,,,,30.5276,40.7034,2217.984,8,0.00581477142857143,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D5,,,0,,,,,,32.6032,43.471,2217.984,8,0.00621014285714286,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D6,,,0,,,,,,35.9541,47.9388,2217.984,8,0.0068484,0,0,0,0,0,0,8.00
Grill,,Knob,100,S,Conveyor,Tote,3,500,D7,,,0,,,,,,46.0804,61.4406,2217.984,8,0.00877722857142857,0,0,0,0,0,0,8.00
Grill,,Legextensions,100,D1,Forklift,Pallet,3,1000,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,D2,Forklift,Pallet,3,1000,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,R,Forklift,Pallet,3,1000,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,I,Forklift,Pallet,3,1000,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S1,Forklift,Pallet,3,1000,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,F,Forklift,Pallet,3,1000,P,,,0,,,,,,196.1943,261.5923,2217.984,30,0.00871974333333333,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,P,Forklift,Pallet,3,1000,S2,,,0,,,,,,36.7928,49.0571,2217.984,30,0.00163523666666667,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S2,Forklift,Pallet,3,1000,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,Legextensions,100,S,Forklift,Pallet,3,1000,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,D1,Forklift,Pallet,2,750,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,D2,Forklift,Pallet,2,750,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,R,Forklift,Pallet,2,750,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,I,Forklift,Pallet,2,750,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S1,Forklift,Pallet,2,750,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,F,Forklift,Pallet,2,750,P,,,0,,,,,,196.1943,261.5923,2217.984,30,0.00871974333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,P,Forklift,Pallet,2,750,S2,,,0,,,,,,36.7928,49.0571,2217.984,30,0.00163523666666667,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S2,Forklift,Pallet,2,750,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,Tankholder,100,S,Forklift,Pallet,2,750,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,Axle,100,D1,Forklift,Pallet,1,1500,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,Axle,100,D2,Forklift,Pallet,1,1500,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,R,Forklift,Pallet,1,1500,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,I,Forklift,Pallet,1,1500,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,S1,Forklift,Pallet,1,1500,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,Axle,100,F,Forklift,Pallet,1,1500,P,,,0,,,,,,196.1943,261.5923,2217.984,30,0.00871974333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,P,Forklift,Pallet,1,1500,S2,,,0,,,,,,36.7928,49.0571,2217.984,30,0.00163523666666667,0,0,0,0,0,0,30.00
Grill,,Axle,100,S2,Forklift,Pallet,1,1500,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,Axle,100,S,Forklift,Pallet,1,1500,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,D1,Forklift,Pallet,5,15000,R,,,0,,,,,,22.6541,30.2055,2217.08416,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,D2,Forklift,Pallet,5,15000,R,,,0,,,,,,29.2395,38.986,2217.08416,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,R,Forklift,Pallet,5,15000,I,,,0,,,,,,32.8937,43.8583,2217.08416,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,I,Forklift,Pallet,5,15000,S1,,,0,,,,,,46.6153,62.1538,2217.08416,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S1,Forklift,Pallet,5,15000,P,,,0,,,,,,127.8673,170.4898,2217.08416,30,0.00568299333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,P,Forklift,Pallet,5,15000,S2,,,0,,,,,,36.7928,49.0571,2217.08416,30,0.00163523666666667,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S2,Forklift,Pallet,5,15000,S,,,0,,,,,,56.4,75.2001,2217.08416,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D3,,,0,,,,,,28.5522,38.0696,2217.08416,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D4,,,0,,,,,,30.5276,40.7034,2217.08416,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D5,,,0,,,,,,32.6032,43.471,2217.08416,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D6,,,0,,,,,,35.9541,47.9388,2217.08416,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D7,,,0,,,,,,46.0804,61.4406,2217.08416,30,0.00204802,0,0,0,0,0,0,30.00
